batch_id,run_id,variant,variant_label,grid_level,subdivision,visual_condition,visual_condition_label,turn_count,turn_difficulty,turn_difficulty_label,model,status,metric,value
case3_batch_20260618_112624,case3_batch_20260618_112624_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.2778
case3_batch_20260618_112624,case3_batch_20260618_112624_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.2941
case3_batch_20260618_123946,case3_batch_20260618_123946_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.12
case3_batch_20260618_123946,case3_batch_20260618_123946_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.125
case3_batch_20260618_123946,case3_batch_20260618_123946_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.125
case3_batch_20260618_134814,case3_batch_20260618_134814_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_134814,case3_batch_20260618_134814_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_134814,case3_batch_20260618_134814_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_153841,case3_batch_20260618_153841_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_153841,case3_batch_20260618_153841_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_153841,case3_batch_20260618_153841_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_163354,case3_batch_20260618_163354_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.1
case3_batch_20260618_163354,case3_batch_20260618_163354_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.1
case3_batch_20260618_163354,case3_batch_20260618_163354_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.1
case3_batch_20260618_172720,case3_batch_20260618_172720_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.125
case3_batch_20260618_172720,case3_batch_20260618_172720_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.125
case3_batch_20260618_172720,case3_batch_20260618_172720_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.125
case3_batch_20260618_182254,case3_batch_20260618_182254_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.15
case3_batch_20260618_182254,case3_batch_20260618_182254_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.15
case3_batch_20260618_182254,case3_batch_20260618_182254_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.1053
